country,average salary local currency,central_Personal allowance,central_Tax credit,central_Surtax rate,central_01 Marginal rate,central_  01 Threshold,central_02 Marginal rate,central_  02 Threshold,central_03 Marginal rate,central_  03 Threshold,central_04 Marginal rate,central_  04 Threshold,central_05 Marginal rate,central_  05 Threshold,central_06 Marginal rate,central_  06 Threshold,central_07 Marginal rate,central_  07 Threshold,central_08 Marginal rate,central_  08 Threshold,central_09 Marginal rate,central_  09 Threshold,central_10 Marginal rate,central_  10 Threshold,central_11 Marginal rate,central_  11 Threshold,central_12 Marginal rate,central_  12 Threshold,central_13 Marginal rate,central_  13 Threshold,central_14 Marginal rate,central_  14 Threshold,central_15 Marginal rate,central_  15 Threshold,central_16 Marginal rate,central_  16 Threshold,central_17 Marginal rate,central_  17 Threshold,central_18 Marginal rate,central_  18 Threshold,central_19 Marginal rate,central_  19 Threshold,sub_non_prog_allowance,sub_non_prog_rate,sub_prog_01 Marginal rate,sub_prog_  01 Threshold,sub_prog_02 Marginal rate,sub_prog_  02 Threshold,sub_prog_03 Marginal rate,sub_prog_  03 Threshold,sub_prog_04 Marginal rate,sub_prog_  04 Threshold,sub_prog_05 Marginal rate,sub_prog_  05 Threshold,sub_prog_06 Marginal rate,sub_prog_  06 Threshold,sub_prog_07 Marginal rate,sub_prog_  07 Threshold,sub_prog_08 Marginal rate,sub_prog_  08 Threshold,sub_prog_09 Marginal rate,sub_prog_  09 Threshold,sub_prog_10 Marginal rate,sub_prog_  10 Threshold,sub_prog_11 Marginal rate,sub_prog_  11 Threshold,sub_prog_12 Marginal rate,sub_prog_  12 Threshold,sub_prog_13 Marginal rate,sub_prog_  13 Threshold,employer_SS_Tax Base (fraction of year),employer_SS_Lump sum charge,employer_SS_01 Marginal rate,employer_SS_  01 Lower threshold,employer_SS_  01 Upper threshold,employer_SS_02 Marginal rate,employer_SS_  02 Lower threshold,employer_SS_  02 Upper threshold,employer_SS_03 Marginal rate,employer_SS_  03 Lower threshold,employer_SS_  03 Upper threshold,employer_SS_04 Marginal rate,employer_SS_  04 Lower threshold,employer_SS_  04 upper threshold,employee_SS_Tax Base (fraction of year),employee_SS_01 Marginal rate,employee_SS_  01 Lower threshold,employee_SS_  01 Upper threshold,employee_SS_02 Marginal rate,employee_SS_  02 Lower threshold,employee_SS_  02 Upper threshold,employee_SS_03 Marginal rate,employee_SS_  03 Lower threshold,employee_SS_  03 Upper threshold,employee_SS_04 Marginal rate,employee_SS_  04 Lower threshold,employee_SS_  04 Upper threshold,employee_SS_05 Marginal rate,employee_SS_  05 Lower threshold,employee_SS_  05 Upper threshold,income tax personal allowance taper threshold,taper rate
Australia,87470.72,,,2,0,18200,19,37000,32.5,90000,37,180000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,6449.24,14.98,6449.24,24262,15.98,24262,26474,16.98,26474,28686,17.98,28686,75180,,
Austria,44788.71,,,,0,11000,20,18000,35,31000,42,60000,48,90000,50,1000000,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,21.16,6449.24,75180,,,,,,,,,,12,13.07,0,,,,,,,,,,,,,,,
Belgium,45832.58,8890,,,25,13440,40,23720,45,41060,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,12,,27.1,0,,,,,,,,,,,1,1.58,0,3500,6.53,3500,54200,4.95,54200,58700,,,,,,,,
Canada,72259.55,,1984.35,,15,48535,20.5,97069,26,150473,29,214368,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,44740,9.15,89482,11.16,150000,12.16,220000,13.16,,,,,,,,,,,,,,,,,,1,,2.21,0,3500,7.16,3500,54200,4.95,54200,58700,,,,12,7,0,2302388,,,,,,,,,,,,,,
Chile,12831073.41,,,,0,8266698,4,18370440,8,30617400,13.5,42864360,23,55111320,30.4,73481760,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,437975.32,,24840,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33.8,0,139340,9,139340,,,,,,,,12,6.5,0,139340,,,,,,,,,,,,,,
Denmark,447520.94,,5631.15,8,12.11,531000,27.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,18805.26,6000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2138.4,0.8,0,6480,33.8,6480,,,,,,,,12,1.6,0,,,,,,,,,,,,,,,
Finland,42769.01,,,,0,18100,6,27200,17.25,44800,21.25,78500,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7110,19.97,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,18.69,0,,,,,,,,,,,1,9.58,0,,,,,,,,,,,,,,,
France,38077.8,,,9.7,0,10084,11,25710,30,73516,41,158122,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,35.86,0,41136,35.87,41136,123408,21.3,123408,164544,17.1,164544,,1,11.31,0,41136,10.12,41136,123408,0.4,123408,164544,0.4,164544,,,,,,
Germany,42593.13,,,5.5,0,9408,,14532,,57051,42,270500,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19.88,0,56250,10.5,56250,82800,,,,,,,1,19.88,0,56250,10.5,56250,82800,,,,,,,,,,,
